LTL_Picker,LTL_Lines,Date
8001661549,8001519788,
176,83,3/9/2006
79,93,3/9/2006
en,11,3/10/2006
176,430,3/10/2006
209,160,3/10/2006
278,160,3/10/2006
248,160,3/10/2006
230,160,3/10/2006
230,41,3/10/2006
8000,200,3/10/2006
101,151,3/10/2006
176,70,3/10/2006
79,85,3/10/2006
176,487,3/13/2006
209,123,3/13/2006
278,123,3/13/2006
248,123,3/13/2006
230,123,3/13/2006
en,7,3/13/2006
209,30,3/13/2006
278,30,3/13/2006
248,30,3/13/2006
230,37,3/13/2006
8000,201,3/13/2006
176,13,3/13/2006
79,55,3/13/2006
176,472,3/14/2006
209,190,3/14/2006
248,190,3/14/2006
278,190,3/14/2006
230,190,3/14/2006
en,11,3/14/2006
101,101,3/14/2006
8000,225,3/14/2006
79,105,3/14/2006
176,78,3/14/2006
79,57,3/14/2006
BO,44,3/14/2006
en,6,3/15/2006
176,500,3/15/2006
209,180,3/15/2006
278,180,3/15/2006
230,180,3/15/2006
79,100,3/15/2006
8000,229,3/15/2006
101,144,3/15/2006
176,50,3/15/2006
79,75,3/15/2006
446,40,3/15/2006
101,50,3/15/2006
176,505,3/16/2006
176,45,3/16/2006
209,200,3/16/2006
278,200,3/16/2006
230,200,3/16/2006
79,54,3/16/2006
79,50,3/16/2006
8000,200,3/16/2006
145,175,3/16/2006
101,80,3/16/2006
BO,98,3/16/2006
EN,8,3/16/2006
en,10,3/17/2006
176,500,3/17/2006
209,195,3/17/2006
278,195,3/17/2006
230,195,3/17/2006
79,100,3/17/2006
101,145,3/17/2006
8000,152,3/17/2006
176,50,3/17/2006
101,38,3/17/2006
BO,32,3/17/2006
en,21,3/20/2006
176,476,3/20/2006
209,200,3/20/2006
278,200,3/20/2006
230,200,3/20/2006
79,150,3/20/2006
8000,203,3/20/2006
101,200,3/20/2006
176,64,3/20/2006
en,6,3/21/2006
176,466,3/21/2006
209,180,3/21/2006
278,180,3/21/2006
230,180,3/21/2006
79,100,3/21/2006
101,181,3/21/2006
176,109,3/21/2006
79,66,3/21/2006
176,438,3/22/2006
en,11,3/22/2006
209,120,3/22/2006
248,120,3/22/2006
278,120,3/22/2006
230,120,3/22/2006
230,25,3/22/2006
438,233,3/22/2006
176,62,3/22/2006
278,40,3/22/2006
248,40,3/22/2006
230,40,3/22/2006
79,113,3/22/2006
446,43,3/22/2006
438,25,3/22/2006
176,436,3/23/2006
en,9,3/23/2006
209,145,3/23/2006
248,145,3/23/2006
278,145,3/23/2006
230,145,3/23/2006
230,140,3/23/2006
438,238,3/23/2006
176,64,3/23/2006
